AppID,Name,Current,24h Peak,All-Time Peak
753.0,Steam,"9,469,112","14,752,493","18,537,490"
578080.0,PLAYERUNKNOWN'S BATTLEGROUNDS,"282,809","1,992,584","3,257,248"
570.0,Dota 2,"226,441","621,653","1,295,114"
730.0,Counter-Strike: Global Offensive,"172,999","421,633","854,801"
359550.0,Tom Clancy's Rainbow Six Siege,"40,794","99,486","178,953"
440.0,Team Fortress 2,"38,309","45,415","120,436"
230410.0,Warframe,"36,867","57,184","121,862"
232050.0,Eador. Masters of the Broken World,"31,890","118,780","118,780"
252950.0,Rocket League,"26,736","46,659","103,129"
346110.0,ARK: Survival Evolved,"25,616","38,600","101,035"
252490.0,Rust,"25,119","33,933","68,434"
8930.0,Sid Meier's Civilization V,"21,966","27,508","91,363"
624090.0,Football Manager 2018,"21,268","46,359","71,575"
4000.0,Garry's Mod,"20,888","30,046","73,863"
271590.0,Grand Theft Auto V,"20,699","54,384","364,548"
218620.0,PAYDAY 2,"16,978","25,456","247,709"
552520.0,Far Cry 5,"16,718","19,383","92,445"
105600.0,Terraria,"16,537","18,229","159,175"
238960.0,Path of Exile,"16,473","25,685","98,445"
289070.0,Sid Meier's Civilization VI,"15,597","19,301","162,657"
582660.0,Black Desert Online,"15,446","17,776","28,152"
444090.0,Paladins,"14,038","22,219","60,743"
377160.0,Fallout 4,"13,760","17,032","472,962"
107410.0,Arma 3,"13,194","24,062","56,679"
489830.0,The Elder Scrolls V: Skyrim Special Edition,"12,640","14,568","69,906"
306130.0,The Elder Scrolls Online,"12,181","15,135","29,996"
394360.0,Hearts of Iron IV,"11,845","17,799","41,042"
72850.0,The Elder Scrolls V: Skyrim,"10,306","14,243","287,411"
236390.0,War Thunder,"9,638","16,639","35,313"
236850.0,Europa Universalis IV,"9,323","16,725","27,839"
601510.0,Yu-Gi-Oh! Duel Links,"9,174","10,531","15,934"
552500.0,Warhammer: Vermintide 2,"8,792","13,398","73,316"
292030.0,The Witcher 3: Wild Hunt,"8,387","15,823","92,268"
281990.0,Stellaris,"8,368","11,147","68,602"
594570.0,Total War: WARHAMMER II,"8,194","12,670","72,320"
386360.0,SMITE,"8,174","11,977","23,596"
39210.0,FINAL FANTASY XIV Online,"7,753","8,235","25,725"
460930.0,Tom Clancy's Ghost Recon® Wildlands,"7,718","15,124","45,704"
381210.0,Dead by Daylight,"7,505","17,783","43,033"
291550.0,Brawlhalla,"7,504","9,540","12,834"
413150.0,Stardew Valley,"7,352","8,007","64,427"
427520.0,Factorio,"7,284","10,683","20,261"
10.0,Counter-Strike,"6,981","18,620","319,586"
304930.0,Unturned,"6,971","12,335","63,462"
203770.0,Crusader Kings II,"6,902","9,894","141,439"
646570.0,Slay the Spire,"6,890","11,271","33,086"
251570.0,7 Days to Die,"6,888","8,582","32,765"
435150.0,Divinity: Original Sin 2,"6,864","9,272","93,701"
49520.0,Borderlands 2,"6,298","7,454","124,678"
48700.0,Mount & Blade: Warband,"6,207","9,871","33,054"
482730.0,Football Manager 2017,"6,069","12,361","72,824"
374320.0,DARK SOULS™ III,"6,039","8,880","129,975"
221380.0,Age of Empires II: HD Edition,"5,973","9,471","20,367"
268870.0,Satellite Reign,"5,861","6,108","6,108"
294100.0,RimWorld,"5,797","7,076","15,063"
227300.0,Euro Truck Simulator 2,"5,649","19,234","48,356"
550.0,Left 4 Dead 2,"5,535","9,185","162,399"
255710.0,Cities: Skylines,"5,518","8,276","60,386"
438100.0,VRChat,"5,379","5,955","20,320"
239140.0,Dying Light,"5,155","16,020","45,876"
431960.0,Wallpaper Engine,"5,127","9,809","20,474"
550650.0,Black Squad,"5,085","9,211","15,939"
363970.0,Clicker Heroes,"5,044","6,771","65,882"
262060.0,Darkest Dungeon,"5,043","6,873","19,357"
440900.0,Conan Exiles,"4,513","6,625","53,402"
214950.0,Total War: ROME II - Emperor Edition,"4,479","7,604","118,240"
627690.0,Idle Champions of the Forgotten Realms,"4,281","4,823","5,430"
359320.0,Elite Dangerous,"4,234","6,154","18,092"
577800.0,NBA 2K18,"4,204","12,598","22,166"
447020.0,Farming Simulator 17,"4,057","7,672","32,313"
250900.0,The Binding of Isaac: Rebirth,"3,961","5,835","70,232"
504370.0,Battlerite,"3,852","6,985","45,145"
637650.0,FINAL FANTASY XV WINDOWS EDITION,"3,557","5,097","29,498"
22380.0,Fallout: New Vegas,"3,556","3,828","51,038"
220200.0,Kerbal Space Program,"3,515","4,264","19,149"
232090.0,Killing Floor 2,"3,454","4,481","51,688"
264710.0,Subnautica,"3,360","4,130","51,156"
268500.0,XCOM 2,"3,358","4,926","133,022"
433850.0,H1Z1,"3,347","7,436","151,239"
322330.0,Don't Starve Together,"3,296","6,778","25,111"
323370.0,TERA,"3,212","3,621","25,260"
480.0,Spacewar,"3,192","8,839","13,900"
322170.0,Geometry Dash,"3,135","3,543","9,641"
365590.0,Tom Clancy's The Division,"3,111","6,383","114,228"
476620.0,Call of Duty: WWII - Multiplayer,"3,108","7,139","56,627"
809960.0,Radical Heights,"3,005","4,236","12,757"
268850.0,EVGA Precision XOC,"2,996","3,052","4,248"
211820.0,Starbound,"2,964","3,200","88,709"
304050.0,Trove,"2,930","5,099","58,949"
593600.0,PixARK,"2,907","5,197","14,144"
304390.0,For Honor,"2,860","4,499","45,944"
8500.0,EVE Online,"2,713","3,681","6,703"
582160.0,Assassin's Creed Origins,"2,694","5,788","41,551"
453480.0,Shadowverse,"2,635","7,726","24,167"
244850.0,Space Engineers,"2,599","3,602","23,888"
240.0,Counter-Strike: Source,"2,539","6,703","100,056"
270880.0,American Truck Simulator,"2,518","2,682","19,153"
630100.0,SoulWorker,"2,490","5,058","11,017"
47890.0,The Sims(TM) 3,"2,424","2,510","8,178"
4700.0,Medieval II: Total War,"2,406","3,476","5,917"
219990.0,Grim Dawn,"2,373","3,773","20,411"
605220.0,Get CARNAGE!!!,"2,349","2,349","2,349"
231430.0,Company of Heroes 2,"2,338","4,732","21,244"
378120.0,Football Manager 2016,"2,322","4,531","82,916"
386180.0,Crossout,"2,297","6,347","9,701"
314160.0,Microsoft Flight Simulator X: Steam Edition,"2,289","2,915","5,821"
678950.0,DRAGON BALL FighterZ,"2,220","2,260","44,303"
242760.0,The Forest,"2,198","3,964","18,314"
342200.0,MechWarrior Online,"2,184","2,184","4,155"
346900.0,AdVenture Capitalist,"2,137","2,507","22,998"
291480.0,Warface,"2,136","4,134","13,867"
444200.0,World of Tanks Blitz,"2,123","12,670","19,631"
10500.0,Empire: Total War,"2,110","3,391","27,559"
379430.0,Kingdom Come: Deliverance,"2,100","4,612","96,069"
610080.0,Realm Grinder,"2,082","2,514","6,265"
457140.0,Oxygen Not Included,"2,078","2,799","7,037"
325610.0,Total War: ATTILA,"2,073","3,657","26,346"
227940.0,Heroes & Generals,"2,008","5,284","21,026"
109600.0,Neverwinter,"2,004","3,290","14,866"
372000.0,Tree of Savior (English Ver.),"1,903","2,091","53,554"
34330.0,Total War: SHOGUN 2,"1,884","2,678","38,517"
389430.0,Knight Online,"1,874","2,279","24,594"
364360.0,Total War: WARHAMMER,"1,869","2,931","113,019"
552990.0,World of Warships,"1,783","2,633","6,818"
284160.0,BeamNG.drive,"1,752","2,052","4,383"
287700.0,METAL GEAR SOLID V: THE PHANTOM PAIN,"1,751","2,141","91,195"
291650.0,Pillars of Eternity,"1,715","2,320","41,906"
414290.0,Princess.Loot.Pixel.Again,"1,711","1,901","2,007"
218230.0,PlanetSide 2,"1,707","2,417","29,676"
9900.0,Star Trek Online,"1,647","1,945","7,910"
286160.0,Tabletop Simulator,"1,605","2,071","4,915"
592580.0,PRO EVOLUTION SOCCER 2018,"1,573","3,281","7,082"
393380.0,Squad,"1,570","2,143","11,577"
493340.0,Planet Coaster,"1,533","2,263","21,971"
644930.0,They Are Billions,"1,517","2,324","22,395"
222880.0,Insurgency,"1,451","2,232","15,775"
216150.0,MapleStory,"1,444","1,595","3,552"
221100.0,DayZ,"1,373","2,742","45,548"
367520.0,Hollow Knight,"1,363","1,608","6,038"
316010.0,Magic Duels,"1,362","1,629","14,586"
373420.0,Divinity: Original Sin Enhanced Edition,"1,361","2,371","7,565"
105450.0,Age of Empires® III: Complete Collection,"1,357","1,873","5,609"
305620.0,The Long Dark,"1,348","2,054","14,433"
211420.0,DARK SOULS™: Prepare To Die Edition,"1,337","1,827","11,259"
383120.0,Empyrion - Galactic Survival,"1,326","1,745","6,925"
356190.0,Middle-earth™: Shadow of War™,"1,325","2,039","68,183"
402840.0,Crusaders of the Lost Idols,"1,324","1,714","4,068"
620.0,Portal 2,"1,322","1,764","98,460"
200210.0,Realm of the Mad God,"1,320","1,325","10,051"
700330.0,SCP: Secret Laboratory,"1,301","1,627","4,334"
464920.0,Surviving Mars,"1,289","1,973","23,521"
225540.0,Just Cause 3,"1,288","2,002","23,459"
392110.0,Endless Space 2,"1,281","1,815","16,683"
295270.0,Football Manager 2015,"1,279","2,678","82,071"
700030.0,Life is Feudal: MMO,"1,268","2,065","5,331"
706220.0,Black Desert Online SA,"1,268","1,363","2,377"
32470.0,STAR WARS™ Empire at War: Gold Pack,"1,261","1,387","2,964"
334230.0,Town of Salem,"1,242","1,242","3,787"
301520.0,Robocraft,"1,219","1,974","26,725"
335300.0,DARK SOULS™ II: Scholar of the First Sin,"1,174","1,872","12,106"
219740.0,Don't Starve,"1,167","1,967","16,796"
433340.0,Slime Rancher,"1,161","1,203","6,452"
244210.0,Assetto Corsa,"1,154","2,963","7,067"
645630.0,Car Mechanic Simulator 2018,"1,149","1,553","8,474"
311210.0,Call of Duty: Black Ops III,"1,145","2,158","63,681"
588430.0,Fallout Shelter,"1,143","1,972","42,656"
310950.0,Street Fighter V: Arcade Edition,"1,142","1,636","14,783"
589360.0,Ni no Kuni™ II: Revenant Kingdom,"1,139","1,574","10,805"
242920.0,Banished,"1,136","1,420","24,636"
364470.0,The Elder Scrolls: Legends,"1,132","1,850","8,873"
212680.0,FTL: Faster Than Light,"1,131","1,364","19,301"
438040.0,Shakes and Fidget,"1,128","3,809","9,495"
389730.0,TEKKEN 7,"1,123","2,657","18,966"
551170.0,Onmyoji,"1,123","1,571","1,571"
527230.0,For The King,"1,114","1,114","1,563"
555570.0,Infestation: The New Z,"1,111","2,121","14,437"
1840.0,Source Filmmaker,"1,097","1,097","3,975"
298110.0,Far Cry 4,"1,091","1,522","16,963"
379720.0,DOOM,"1,071","1,408","44,271"
506140.0,Shop Heroes,"1,050","1,686","4,222"
391220.0,Rise of the Tomb Raider,"1,024","1,884","44,588"
200510.0,XCOM: Enemy Unknown,"1,013","1,525","70,568"
4760.0,Rome: Total War,"1,007","1,502","4,413"
273110.0,Counter-Strike Nexon: Zombies,"1,004","1,485","10,007"
376210.0,The Isle,"1,003","1,143","2,472"
22330.0,The Elder Scrolls IV: Oblivion ,993,"1,098","6,390"
